size default default-error-minus default-error-plus default-min default-max loopswap loopswap-error-minus loopswap-error-plus loopswap-min loopswap-max tiling tiling-error-minus tiling-error-plus tiling-min tiling-max unrolling unrolling-error-minus unrolling-error-plus unrolling-min unrolling-max
1024 9.56 0.7800000000000011 0.05999999999999872 9.62 9.62 4.865 0.015000000000000568 0.004999999999999893 4.87 4.87 8.864999999999998 0.08499999999999908 0.18500000000000227 9.05 9.05 9.495000000000001 0.14500000000000135 0.09499999999999886 9.59 9.59
128 0.009950500000000001 0.0001465000000000008 4.94999999999992e-05 0.01 0.01 0.009950500000000001 0.0008595000000000009 4.94999999999992e-05 0.01 0.01 0.01718 0.00023100000000000204 6.0999999999998555e-05 0.017241 0.017241 0.009259 8.5e-05 0.0001749999999999998 0.009434 0.009434
2048 92.36500000000001 2.095000000000013 2.404999999999987 94.77 94.77 39.075 0.10500000000000398 0.10499999999999687 39.18 39.18 93.465 7.405000000000001 2.2449999999999903 95.71 95.71 95.94 2.980000000000004 6.469999999999999 102.41 102.41
256 0.11 0.008999999999999994 0.006667000000000006 0.116667 0.116667 0.075714 0.0 0.0007149999999999934 0.076429 0.076429 0.14 0.0012500000000000011 0.0 0.14 0.14 0.105 0.011363999999999999 0.008333000000000007 0.113333 0.113333
512 1.09 0.0 0.010000000000000009 1.1 1.1 0.61 0.0050000000000000044 0.0 0.61 0.61 1.12 0.0 0.0 1.12 1.12 1.07 0.020000000000000018 0.0 1.07 1.07
