size default default-error-minus default-error-plus default-min default-max loopswap loopswap-error-minus loopswap-error-plus loopswap-min loopswap-max reuse reuse-error-minus reuse-error-plus reuse-min reuse-max tiling tiling-error-minus tiling-error-plus tiling-min tiling-max unrolling unrolling-error-minus unrolling-error-plus unrolling-min unrolling-max
1024 231909681.209503 997460.9944489896 250713.16887500882 232160394.378378 232160394.378378 440058124.590164 899914.3652150035 903610.1120949984 440961734.702259 440961734.702259 321987621.352672 3841895.7230419517 40151273.75694001 362138895.109612 362138895.109612 242380879.31189102 1361390.1985350251 1928978.2535239756 244309857.565415 244309857.565415 237816572.314507 0.0 527894.7221190035 238344467.036626 238344467.036626
128 419430400.0 0.0 4194304.0 423624704.0 423624704.0 438304768.0 18874368.0 14680064.0 452984832.0 452984832.0 528482304.0 8388608.0 16777216.0 545259520.0 545259520.0 226492416.0 0.0 6063053.306930989 232555469.306931 232555469.306931 450887680.0 6291456.0 10485760.0 461373440.0 461373440.0
2048 187389533.751347 651825.2296079993 266055.36935198307 187655589.120699 187655589.120699 440453005.161017 1070161.580453992 1188876.175743997 441641881.336761 441641881.336761 194068044.3183955 4632944.704325497 12371143.18460852 206439187.503004 206439187.503004 199605136.8408865 5284707.206229508 33563554.5814805 233168691.422367 233168691.422367 188282951.4191055 545336.0328085124 423871.77948850393 188706823.198594 188706823.198594
256 321102394.139194 7509571.709286988 14441925.860805988 335544320.0 335544320.0 439029951.401869 0.0 4141791.99435699 443171743.396226 443171743.396226 417433112.3809525 9762443.222073495 10221413.109243512 427654525.490196 427654525.490196 239674514.285714 0.0 2159229.858429998 241833744.144144 241833744.144144 340248212.3364485 11283192.728605509 25196096.574442506 365444308.910891 365444308.910891
512 272523305.583756 1376380.3312310576 1390425.0284889936 273913730.612245 273913730.612245 440058124.590164 0.0 3636844.0048769712 443694968.595041 443694968.595041 370273412.48097396 7522796.264757931 10486099.57576406 380759512.056738 380759512.056738 239674514.285714 0.0 0.0 239674514.285714 239674514.285714 287096744.385027 3038060.787142992 0.0 287096744.385027 287096744.385027
